	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS8	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS17a	SBS17b	SBS18	SBS20	SBS31	SBS33	SBS35	SBS39	SBS43	SBS44	SBS45	SBS46	SBS53	SBS54	SBS57	SBS60	SBS84	SBS87	SBS288L1/H3	SBS288L2	SBS288L3	SBS288L4	SBS288L5	SBS288H1	SBS288H2	SBS288H4	SBS288H5	DBS1	DBS2	DBS4	DBS5	DBS6	DBS7	DBS9	DBS10	DBS11	DBS78L1/H1	DBS78H2	DBS78H3	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5	Unassigned_SBS
KiCS0003_285201	192	0	789	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0
KiCS0003_285202	236	0	2507	0	0	0	0	0	0	0	0	0	0	0	0	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	127	0	0	0	176	0	0	0	0	0	0	0
KiCS0005_300238	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0
KiCS0005_4677	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0
KiCS0006_274243	150	0	1035	0	0	720	0	0	0	0	0	0	0	0	0	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0
KiCS0007_302948	291	0	4418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	209	0
KiCS0008_289185	652	0	6759	0	0	4300	0	0	0	0	0	0	0	663	1082	3728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	89	110	0	0	0	0	0	64	0	0	150	479	0	0	412	260	0	0	0	0	0	275	0	0	0	0	0	0
KiCS0010_270645	283	295	3564	0	0	2239	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	582	0	0	0	0	0	213	0	0	269	0	0	0	0	0	0	0
KiCS0010_270646	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0
KiCS0010_270647	179	0	6174	0	0	0	0	0	0	0	0	0	0	0	0	1513	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	4537	0	0	0	3220	0	0	0	0	0	0	0	0	0	0	0	0	0	236	255	0	255	697	0	0	0	0	0	0	0	0	417	0	213	0	0	0	0	0
