Samples	SV2	SV3	SV4	SV5	SV6	SV8	SV9	SV32A	SV32B	SV32C	SV32D	SV32E
zcc136	138	0	0	0	0	14	0	15	14	0	0	0
KiCS0154_326256	44	0	0	0	0	18	0	9	0	0	0	0
KiCS0172_321979	22	0	0	0	0	16	0	8	8	0	0	0
KiCS0050_290492	35	0	0	0	0	21	0	9	0	0	0	0
KiCS0015_316119	60	0	0	0	0	34	0	16	10	0	0	0
KiCS0140_313704	9	0	0	0	0	18	0	10	0	0	0	0
zcc159	0	0	0	0	6	0	0	1	0	0	0	0
zcc24	0	0	0	0	0	5	0	0	3	0	2	0
zcc125	11	0	0	0	0	4	0	0	0	0	0	0
zcc28	0	0	0	0	0	1	0	0	2	0	0	0
KiCS0008_289185	77	22	0	0	0	55	0	24	0	0	0	0
zcc189	64	0	0	0	0	0	55	0	0	0	0	0
KiCS0200_332386	9	0	0	0	0	6	0	12	0	0	0	0
zcc108	0	0	0	0	0	1	0	0	0	0	2	0
zcc87	22	0	0	0	0	0	0	0	4	0	0	0
zcc115	0	0	0	0	0	2	0	3	2	6	0	0
I-H-136062-T1-1-D1-1	15	0	0	0	0	3	13	4	0	0	0	0
zcc152	3	0	0	0	0	1	0	0	4	0	0	0
zcc196	3	0	0	0	0	0	0	1	4	0	0	0
zcc209	0	0	0	0	44	0	22	0	0	0	0	0
KiCS0306_19_19567_A_02_00	75	0	0	0	0	31	0	0	0	0	0	0
zcc218	28	0	0	0	0	0	0	0	0	20	0	0
KiCS0241_19_7197	16	9	0	0	0	20	0	5	0	0	0	0
KiCS0059_291150	35	0	0	0	0	10	0	0	0	0	0	0
KiCS0363_19_21783_A_02_00	22	0	0	0	0	19	0	6	0	0	0	0
zcc170	0	0	0	0	0	1	0	0	0	0	0	0
zcc138	33	0	0	0	0	8	0	17	12	0	0	0
KiCS0227_18_2559	45	0	0	0	0	23	0	8	0	0	0	0
zcc158	42	0	0	0	32	0	54	0	0	0	0	0
KiCS0136_312904	13	0	0	0	0	21	0	0	0	0	0	0
zcc128	28	0	9	0	0	0	0	0	0	0	0	0
zcc221	0	0	0	0	0	0	0	3	4	0	0	0
KiCS0252_18_9296	7	2	0	0	0	5	0	5	2	0	0	0
zcc142	10	0	0	0	0	2	0	5	3	0	0	0
zcc144	0	0	0	0	0	0	0	14	21	0	0	0
KiCS0391_20_11161_A_02_00	131	0	340	0	0	86	0	0	0	0	0	0
zcc119	2	0	0	0	0	3	0	2	4	0	0	0
KiCS0010_270645	52	0	24	0	0	14	44	17	29	0	0	0
KiCS0018_270652	39	0	0	0	0	26	0	11	0	0	0	0
KiCS0048_18_753	28	0	8	0	0	13	0	8	18	0	0	0
zcc99	17	0	18	0	67	0	0	0	0	0	0	0
zcc234	55	0	0	0	0	15	47	16	0	0	0	0
KiCS0249_19_18443	29	0	7	0	21	19	0	9	0	0	0	0
I-H-136134-T1-1-D1-1	15	0	5	0	0	0	0	14	6	0	0	0
KiCS0076_303115	12	0	0	0	0	28	0	0	0	0	0	0
zcc279	609	0	616	0	247	0	0	0	0	0	0	0
zcc344	100	0	220	0	119	0	0	0	38	0	0	0
KiCS0289_19_15639_A_02_00	0	0	0	0	0	28	0	0	0	0	0	36
KiCS0120_308112	17	0	0	0	0	9	0	5	0	0	0	0
KiCS0099_301444	21	0	0	0	0	19	0	0	0	0	0	0
KiCS0326_19_21779_A_02_00	41	0	0	0	0	10	0	5	0	0	0	0
KiCS0055_318143	37	0	0	0	0	22	0	6	0	0	0	0
KiCS0155_314807	14	0	0	0	0	16	0	0	0	0	0	0
zcc204	4	0	0	0	0	0	0	4	5	0	0	0
IID_H158183_T01_01_WG01	22	0	0	0	0	0	46	13	12	0	0	0
KiCS0295_20_6217_A_02_00	13	0	0	0	0	12	0	0	0	0	4	0
KiCS0371_19_22172_A_02_00	15	0	0	0	0	7	0	3	0	0	0	0
zcc202	0	0	0	0	0	0	0	0	1	2	0	0
KiCS0380_19_25917_A_02_00	23	0	0	0	0	10	0	10	11	0	0	0
zcc71	0	0	7	0	0	0	10	0	0	0	0	0
KiCS0386_20_425_A_02_00	26	0	0	0	0	9	20	0	0	0	0	0
zcc26	0	0	4	0	11	0	0	0	0	0	0	0
I-H-135065-T1-1-D1-1	6	0	0	0	13	4	21	6	5	0	0	0
IID_H158186_T01_01_WG01	42	0	0	0	0	0	0	0	0	0	0	0
KiCS0220_18_748	56	0	50	0	74	16	77	0	0	0	0	0
zcc233	33	0	0	0	0	0	0	18	17	0	0	0
zcc88	28	0	11	0	15	6	40	0	0	0	0	0
zcc219	4	0	0	0	0	1	0	0	3	0	0	0
zcc49	0	0	0	0	0	3	0	13	11	0	0	0
zcc31	0	0	2	0	3	0	6	0	0	0	0	0
KiCS0193_328018	27	0	0	0	0	39	0	8	0	0	0	0
KiCS0049_289187	38	0	37	0	34	25	0	9	0	0	0	0
KiCS0214_18_2567	18	0	0	0	0	35	0	0	0	0	0	0
zcc96	0	0	0	0	95	0	0	0	0	0	0	0
zcc131	48	0	21	0	55	14	0	14	28	20	58	0
zcc74	0	0	0	0	0	13	0	0	3	0	0	0
KiCS0266_19_13897_A_02_00	23	0	0	0	0	22	0	0	0	0	0	0
KiCS0323_19_26722_A_02_00	38	0	0	0	0	25	0	0	0	0	0	0
KiCS0332_19_12115_A_02_00	23	0	0	0	0	13	0	3	0	0	0	0
zcc34	0	0	0	0	0	0	0	0	1	0	4	0
zcc41	5	0	0	0	0	0	0	0	0	0	0	0
zcc246	7	0	0	0	0	2	0	5	6	6	0	0
zcc11	13	0	0	0	0	0	0	0	0	0	0	0
KiCS0128_310151	20	0	0	0	0	27	0	5	5	0	0	0
KiCS0347_19_17408_A_02_00	18	0	0	0	0	27	0	5	0	0	0	0
zcc217	11	0	0	0	0	0	0	0	0	0	0	0
KiCS0337_19_12649_A_02_00	25	0	0	0	0	28	0	0	0	0	0	0
KiCS0284_20_18306_A_02_00	15	0	0	0	0	17	0	6	0	0	0	0
KiCS0225_18_2571	47	0	0	0	0	48	0	0	0	0	0	0
I-H-133675-T1-2-D1-1	6	0	0	0	0	5	0	0	3	0	0	0
zcc212	10	0	0	0	0	0	40	0	0	0	0	0
KiCS0329_19_12113_A_02_00	29	0	0	0	0	22	0	0	0	0	0	0
zcc210	2	0	0	0	0	2	0	0	1	0	0	0
KiCS0168_319321	16	0	0	0	0	8	0	8	10	0	0	0
KiCS0228_18_7577	11	5	0	0	0	16	0	9	0	0	0	0
zcc228	0	0	0	0	0	0	56	0	0	0	0	0
I-H-134733-T3-2-D1-1	46	0	0	0	0	0	327	0	29	0	0	0
KiCS0093_314662	21	0	0	0	0	15	0	0	0	0	0	0
KiCS0383_19_25931_A_02_00	18	0	0	0	0	19	0	5	0	0	0	0
KiCS0283_19_15299_A_02_00	22	0	0	0	0	22	0	12	0	0	0	0
KiCS0107_307283	18	0	0	0	0	8	0	0	0	0	0	0
KiCS0366_19_20056_A_02_00	16	0	0	0	0	14	0	0	0	0	0	0
zcc77	12	0	0	0	0	3	0	9	3	0	0	0
zcc57	10	0	0	0	11	5	0	3	5	7	0	0
KiCS0359_19_18908_A_02_00	51	0	43	0	0	24	0	0	0	0	0	0
KiCS0259_18_12197	14	0	0	0	0	12	0	3	3	0	0	0
KiCS0224_18_1655	0	0	0	33	0	0	0	0	0	0	0	0
zcc15	0	0	0	0	0	3	0	0	0	0	0	0
KiCS0226_18_2569	8	0	0	0	0	13	0	4	0	0	0	0
zcc130	22	0	0	0	0	16	0	21	0	0	0	0
zcc46	0	0	0	0	0	1	0	0	0	0	0	0
zcc73	0	0	0	0	0	0	0	0	0	1	1	0
KiCS0354_19_19173_A_02_00	12	0	0	0	0	27	0	0	0	0	0	0
KiCS0096_302713	17	0	0	0	0	15	0	0	0	0	0	0
zcc44	17	0	0	0	31	0	52	7	6	0	0	0
zcc25	7	0	0	0	0	0	0	0	0	0	0	0
KiCS0069_295533	185	0	0	0	0	40	0	21	0	0	0	0
zcc93	44	0	0	0	0	8	0	15	0	0	0	0
KiCS0003_285202	20	0	0	0	0	17	0	0	0	0	0	0
