Sample_id	sbs_burden	dbs_burden	id_burden	sbs_log	dbs_log	id_log
KiCS0366_20_11333_A_02_00	Low	Low	Mid	3.678245152	1.176091259	2.963787827
KiCS0368_20_6000_A_02_00	High	High	High	6.011072009	3.013258665	5.186498645
KiCS0370_19_21815_A_02_00	Low	High	Mid	3.681693392	1.913813852	3.001300933
KiCS0371_19_22172_A_02_00	Low	Low	Low	2.591064607	0.477121255	1.919078092
KiCS0374_20_3760_A_02_00	Low	Low	Mid	3.302547372	1.51851394	2.763427994
KiCS0374_20_3759_A_02_00	Low	Low	Mid	3.301029996	1.278753601	2.694605199
KiCS0375_20_484_A_02_00	Low	High	High	3.868056362	2.173186268	3.677333151
KiCS0376_19_23808_A_02_00	Low	High	Mid	3.6658623	1.913813852	2.98811284
KiCS0377_20_18334_A_02_00	Low	Low	Mid	3.41313205	1.397940009	3.362293938
KiCS0378_19_25245_A_02_00	Low	Low	Mid	3.230193379	1.230448921	2.484299839
KiCS0379_20_18013_A_02_00	Low	Low	Mid	2.849419414	1.146128036	2.424881637
KiCS0380_19_25917_A_02_00	Low	Low	Mid	3.329804522	1.322219295	2.663700925
KiCS0383_19_25931_A_02_00	Low	Low	Mid	2.947433722	1.113943352	2.46834733
KiCS0385_20_6460_A_02_00	High	Low	High	4.405704851	1.612783857	3.683587318
KiCS0386_20_425_A_02_00	Low	Low	Mid	3.29136885	1.397940009	2.59439255
KiCS0388_20_8809_A_02_00	High	High	High	5.926678843	2.946452265	5.216221341
KiCS0391_20_11161_A_02_00	Low	Low	Mid	3.362482475	1.176091259	2.609594409
KiCS0400_20_1851_A_02_00	High	High	High	5.573524875	3.943296615	4.376449205
KiCS0487_20_20203_A_02_00	Low	Low	Mid	3.365862215	1.342422681	2.904174368
zcc1	Low	Low	Mid	3.572174314	1.204119983	2.861534411
zcc2	Low	Low	Mid	3.449169732	1.113943352	2.804139432
zcc3	Low	High	Mid	3.830781076	1.944482672	2.923244019
zcc4	Low	Low	Mid	3.575072326	1.230448921	2.73479983
zcc5	Low	High	Mid	3.95477299	2.021189299	2.833147112
zcc6	Low	Low	Mid	3.447158031	1.146128036	2.636487896
zcc7	Low	Low	Mid	3.833274639	1.62324929	2.923244019
zcc8	Low	High	Mid	3.834929096	1.86923172	3.020775488
zcc9	Low	High	Mid	3.828144107	2.694605199	2.614897216
zcc10	Low	High	High	4.186956335	2.155336037	4.290324045
zcc11	Low	Low	Mid	3.654369091	1.255272505	2.694605199
zcc12	Low	Low	Mid	2.923244019	0.698970004	2.469822016
zcc13	Low	Low	Mid	3.0523091	1.176091259	2.447158031
zcc14	Low	Low	Mid	3.656768779	1.322219295	2.680335513
zcc15	Low	Low	Mid	3.373279893	1.204119983	2.588831726
zcc16	Low	Low	Mid	3.629715333	1.301029996	2.769377326
zcc17	Low	Low	Mid	3.211120541	1.113943352	2.478566496
zcc18	Low	Low	Mid	3.622628426	1.602059991	2.646403726
zcc19	Low	Low	Mid	3.514149134	1.278753601	2.492760389
zcc20	Low	Low	Mid	3.703892954	1.462397998	2.820201459
zcc21	Low	Low	Mid	3.089905111	0.477121255	2.534026106
zcc22	Low	High	Mid	3.838534271	2.139879086	2.72916479
zcc23	Low	Low	Mid	3.650987094	1.322219295	2.681241237
zcc24	Low	Low	Mid	3.42894429	1.146128036	2.689308859
zcc25	Low	Low	Mid	3.634174872	1.278753601	2.792391689
zcc26	Low	Low	Mid	3.215373153	1.041392685	2.419955748
zcc27	Low	Low	Mid	3.887504774	1.278753601	2.776701184
zcc28	Low	Low	Mid	3.116607744	0.77815125	2.579783597
zcc29	Low	Low	Mid	3.51308436	1.505149978	2.752048448
zcc30	Low	Low	Mid	3.407560849	0.84509804	2.774516966
zcc31	Low	Low	Mid	3.33825723	0.77815125	2.57634135
zcc32	Low	Low	Mid	2.895422546	0.477121255	2.354108439
zcc33	Low	Low	Mid	3.550350672	1.342422681	2.729974286
zcc34	Low	Low	Mid	3.126456113	0.903089987	2.396199347
zcc35	Low	High	Mid	3.852540986	1.934498451	3.067070856
zcc36	Low	Low	Mid	3.315760491	1.204119983	2.609594409
zcc37	Low	Low	Mid	3.68690427	1.361727836	3.092018471
zcc38	Low	Low	Mid	3.814846669	1.505149978	2.926342447
