	ID1	ID2	ID3	ID4	ID5	ID8	ID9	ID12	ID17	ID83L1	ID83I1	ID83I2	ID83I3/H1	ID83H2	ID83H3	ID83H4	ID83I4/H5
	MMRD/MSI	MMRD/MSI	Tobacco	Unknown	Unknown	Radiation	Unknown	Unknown	Top2A	Novel	Novel	Novel	Novel	Novel	Novel	Novel	Novel
KiCS0145_314010	0	0	0	0	0	0	0	75	0	0	0	0	81	0	0	0	55
KiCS0148_319486	0	0	0	0	0	0	238	0	0	0	0	595	0	0	0	0	159
KiCS0149_316368	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0
KiCS0150_315216	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0
KiCS0152_316245	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	72
KiCS0154_18_752	0	368	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0
KiCS0154_316299	0	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0154_326256	0	230	0	0	0	97	104	0	0	0	0	0	143	0	0	0	0
KiCS0155_18_9678	65	118	0	0	0	0	0	73	0	0	80	0	0	0	0	0	0
KiCS0155_314807	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0
KiCS0155_314825	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0
KiCS0158_316457	66	67	0	0	0	0	52	0	0	0	0	74	0	0	0	0	0
KiCS0161_319069	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0
KiCS0162_317276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0164_317770	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	71
KiCS0165_317832	187	318	0	0	0	0	154	0	0	0	0	203	0	0	0	0	106
KiCS0168_319321	0	0	0	0	0	76	0	0	0	0	0	0	168	0	0	0	0
KiCS0169_319629	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0
KiCS0170_320432	0	95	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0
KiCS0171_19_17562_A_02_00	0	85	0	0	0	0	0	0	0	0	91	0	51	0	0	0	0
KiCS0171_319910	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
KiCS0172_321979	0	152	0	0	303	286	0	0	0	0	0	0	134	0	0	0	0
KiCS0179_322516	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0
KiCS0184_324069	0	0	0	0	74	0	0	0	0	0	0	63	0	0	0	0	0
KiCS0188_334057	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0
KiCS0190_327483	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0
KiCS0192_330523	0	303	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0
KiCS0193_328018	154	879	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0
KiCS0193_328020	215	1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KiCS0194_328185	62	73	0	0	205	0	0	0	0	0	0	187	0	0	0	0	0
KiCS0195_328069	246	182	0	0	0	0	0	487	0	0	622	0	0	0	0	0	0
KiCS0197_20_1402_A_02_00	0	0	138	0	0	168	208	0	0	0	0	115	0	0	0	0	119
KiCS0197_20_15931_A_02_00	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	82
