Samples	Signatures	Mutations
LKCP-T005201-239954-01-01-01-D1	SBS1	39
LKCP-T005401-240316-01-04-01-R1	SBS1	0
I-H-108298-T1-1-D1-1	SBS1	0
I-H-108317-T1-1-D1-1	SBS1	0
I-H-108319-T1-1-D1-1	SBS1	0
I-H-108333-T2-2-D1-1	SBS1	0
I-H-121266-T1-2-D1-1	SBS1	0
I-H-133671-T1-2-D1-1	SBS1	0
I-H-133672-T1-2-D1-1	SBS1	0
I-H-133673-T2-1-D1-1	SBS1	0
I-H-133674-T1-2-D1-1	SBS1	0
I-H-133675-T1-2-D1-1	SBS1	0
I-H-134733-T3-2-D1-1	SBS1	0
I-H-134753-T1-1-D1-1	SBS1	0
I-H-134754-T1-1-D1-1	SBS1	0
I-H-134756-T1-1-D1-1	SBS1	0
I-H-134757-T1-1-D1-1	SBS1	0
I-H-134768-T1-1-D1-2	SBS1	0
I-H-135062-T1-1-D1-1	SBS1	0
I-H-135065-T1-1-D1-1	SBS1	0
I-H-135074-T1-2-D1-1	SBS1	0
I-H-135076-T1-1-D1-1	SBS1	0
I-H-135088-T1-2-D1-1	SBS1	0
I-H-135387-T1-1-D1-1	SBS1	0
I-H-135392-T1-1-D1-1	SBS1	0
I-H-135393-T1-1-D1-1	SBS1	0
I-H-135420-T1-2-D1-1	SBS1	0
I-H-135459-T1-2-D1-1	SBS1	0
I-H-135463-T1-2-D1-1	SBS1	0
I-H-135467-T1-2-D1-1	SBS1	0
I-H-135963-T1-1-D1-1	SBS1	0
I-H-135963-T2-2-D1-1	SBS1	0
I-H-135965-T1-1-D1-1	SBS1	0
I-H-135967-T1-2-D1-1	SBS1	0
I-H-135973-T1-2-D1-1	SBS1	0
I-H-135988-T1-2-D1-1	SBS1	0
I-H-136062-T1-1-D1-1	SBS1	0
I-H-136083-T1-2-D1-1	SBS1	0
I-H-136086-T1-1-D1-1	SBS1	0
I-H-136134-T1-1-D1-1	SBS1	0
I-H-136375-T1-1-D1-1	SBS1	0
I-H-136424-T1-1-D1-1	SBS1	0
I-H-136428-T1-1-D1-1	SBS1	0
IID_H134768_T02_01_WG01	SBS1	0
IID_H135068_T05_01_WG01	SBS1	0
IID_H136433_T07_01_WG01	SBS1	0
IID_H136640_T01_01_WG01	SBS1	0
IID_H136641_T01_01_WG01	SBS1	0
IID_H136648_T01_01_WG01	SBS1	0
IID_H136649_T01_01_WG01	SBS1	0
IID_H156407_T01_01_WG01	SBS1	0
IID_H156409_T01_01_WG01	SBS1	0
IID_H156416_T01_01_WG01	SBS1	0
IID_H156418_T01_01_WG01	SBS1	0
IID_H158181_T01_01_WG01	SBS1	0
IID_H158182_T01_01_WG01	SBS1	0
IID_H158183_T01_01_WG01	SBS1	0
IID_H158184_T01_01_WG01	SBS1	0
IID_H158186_T01_01_WG01	SBS1	0
