	Signature	Precision	Recall	F1-score	Support	Positive Class (in Red)
148	Sig -	1.0	1.0	1.0	22.0	Sig+
149	Sig +	1.0	1.0	1.0	22.0	Sig+
150	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
151	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
152	Sig -	0.7878787878787878	0.9122807017543859	0.8455284552845528	57.0	"Platinum
Treated"
153	Sig +	0.8958333333333334	0.7543859649122807	0.819047619047619	57.0	"Platinum
Treated"
154	Sig -	0.8536585365853658	0.9459459459459459	0.8974358974358975	37.0	TopRQ
155	Sig +	0.9393939393939394	0.8378378378378378	0.8857142857142858	37.0	TopRQ
156	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
157	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
158	Sig -	0.7058823529411765	0.8	0.7500000000000001	15.0	Sig-
159	Sig +	0.7692307692307693	0.6666666666666666	0.7142857142857142	15.0	Sig-
160	Sig -	0.7846153846153846	0.8947368421052632	0.8360655737704918	57.0	"Platinum
Treated"
161	Sig +	0.8775510204081632	0.7543859649122807	0.8113207547169812	57.0	"Platinum
Treated"
162	Sig -	0.8717948717948718	0.918918918918919	0.8947368421052632	37.0	TopRQ
163	Sig +	0.9142857142857143	0.8648648648648649	0.888888888888889	37.0	TopRQ
164	Sig -	1.0	0.9545454545454546	0.9767441860465117	22.0	Sig+
165	Sig +	0.9565217391304348	1.0	0.9777777777777777	22.0	Sig+
166	Sig -	0.75	1.0	0.8571428571428571	15.0	Sig-
167	Sig +	1.0	0.6666666666666666	0.8	15.0	Sig-
168	Sig -	0.7846153846153846	0.8947368421052632	0.8360655737704918	57.0	"Platinum
Treated"
169	Sig +	0.8775510204081632	0.7543859649122807	0.8113207547169812	57.0	"Platinum
Treated"
170	Sig -	0.875	0.9459459459459459	0.9090909090909091	37.0	TopRQ
171	Sig +	0.9411764705882353	0.8648648648648649	0.9014084507042254	37.0	TopRQ
172	Sig -	1.0	1.0	1.0	22.0	Sig+
173	Sig +	1.0	1.0	1.0	22.0	Sig+
174	Sig -	0.7368421052631579	0.9333333333333333	0.8235294117647058	15.0	Sig-
175	Sig +	0.9090909090909091	0.6666666666666666	0.7692307692307692	15.0	Sig-
176	Sig -	0.8032786885245902	0.8596491228070176	0.8305084745762712	57.0	"Platinum
Treated"
177	Sig +	0.8490566037735849	0.7894736842105263	0.8181818181818182	57.0	"Platinum
Treated"
178	Sig -	0.8780487804878049	0.972972972972973	0.923076923076923	37.0	TopRQ
179	Sig +	0.9696969696969697	0.8648648648648649	0.9142857142857143	37.0	TopRQ
180	Sig -	1.0	1.0	1.0	22.0	Sig+
181	Sig +	1.0	1.0	1.0	22.0	Sig+
182	Sig -	0.7222222222222222	0.8666666666666667	0.7878787878787877	15.0	Sig-
183	Sig +	0.8333333333333334	0.6666666666666666	0.7407407407407408	15.0	Sig-
184	Sig -	0.7846153846153846	0.8947368421052632	0.8360655737704918	57.0	"Platinum
Treated"
185	Sig +	0.8775510204081632	0.7543859649122807	0.8113207547169812	57.0	"Platinum
Treated"
186	Sig -	0.8421052631578947	0.8648648648648649	0.8533333333333334	37.0	TopRQ
187	Sig +	0.8611111111111112	0.8378378378378378	0.8493150684931507	37.0	TopRQ
188	Sig -	1.0	1.0	1.0	22.0	Sig+
189	Sig +	1.0	1.0	1.0	22.0	Sig+
190	Sig -	0.7647058823529411	0.8666666666666667	0.8125	15.0	Sig-
191	Sig +	0.8461538461538461	0.7333333333333333	0.7857142857142856	15.0	Sig-
192	Sig -	0.7761194029850746	0.9122807017543859	0.8387096774193548	57.0	"Platinum
Treated"
