Samples	SBS1	SBS2	SBS5	SBS7b	SBS13	SBS46
LKCGP-P001103-270604-01-02-03-R1	34	0	434	0	0	0
LKCGP-P001104-263056-01-04-20-D1	1	0	78	0	0	0
LKCGP-P001105-271530-01-01-01-R1	7	0	64	0	0	0
LKCGP-P001106-249829-01-03-01-R1	0	0	55	0	0	0
LKCGP-P001201-248752-01-06-01-R1	1	0	102	0	0	0
LKCGP-P001203-271124-01-02-05-R1	1	0	14	0	0	0
LKCGP-P001204-263990-01-04-01-D1	1	0	9	0	3	0
LKCGP-P001205-274088-01-01-01-D1	2	0	40	10	0	0
LKCGP-P001206-250878-01-02-05-D1	8	0	64	0	0	0
LKCGP-P001207-262187-01-05-01-D1	0	8	0	7	5	0
LKCGP-P001301-248794-01-01-01-P2	0	45	103	0	72	0
LKCGP-P001302-256285-01-01-01-R1	1	0	7	0	0	0
LKCGP-P001303-271833-01-04-01-D1	0	0	22	0	5	0
LKCGP-P001304-264103-01-01-01-D1	3	0	59	0	10	0
LKCGP-P001305-275257-01-04-01-R1	0	0	13	0	0	0
LKCGP-P001306-255554-01-04-01-D1	1	0	66	0	0	0
LKCGP-P001307-263444-01-01-01-D1	0	0	23	0	0	0
LKCGP-P001401-249004-01-01-01-D1	0	2	11	0	0	0
LKCGP-P001402-258718-01-04-01-P1	0	0	67	0	0	0
LKCGP-P001403-272819-01-06-01-D1	0	0	12	0	0	0
LKCGP-P001404-264380-01-01-20-D1	1	0	21	0	0	0
LKCGP-P001405-277029-01-01-01-P1	0	0	4	0	0	0
LKCGP-P001406-256347-01-04-01-R3	0	190	141	57	68	0
LKCGP-P001407-264193-01-02-01-D1	0	0	18	0	0	0
LKCGP-P001408-312527-01-04-01-R1	0	132	35	64	134	0
LKCGP-P001501-248024-01-01-01-D1	0	17	107	0	24	0
LKCGP-P001502-260042-01-01-01-R1	0	26	12	0	36	0
LKCGP-P001503-272818-01-04-01-D1	0	39	22	31	16	0
LKCGP-P001504-265128-01-04-01-R1	0	0	25	0	0	0
